ClientIP,Domain,TotalTime_ms,ServersVisited,Result
10.0.0.1,globalpoliticalspectrum.com.,286.09,2,NXDOMAIN
10.0.0.1,group14eng.com.,455.67,3,192.124.249.164
10.0.0.1,gusbi.com.,450.17,3,185.145.195.19
10.0.0.1,healthnews4you.com.,475.90,3,3.33.130.190
10.0.0.1,hemcolubricants.com.,301.40,2,FAILED_NO_GLUE
10.0.0.1,hornil.com.,464.80,3,183.111.138.226
10.0.0.1,house-sg.com.,283.54,2,FAILED_NO_GLUE
10.0.0.1,iag-inc.com.,284.11,2,FAILED_NO_GLUE
10.0.0.1,i-butterfly.ru.,365.49,2,FAILED_NO_GLUE
10.0.0.1,informarexresistere.fr.,313.13,2,FAILED_NO_GLUE
10.0.0.1,interfloracentral.co.uk.,321.29,2,FAILED_NO_GLUE
10.0.0.1,jantv.in.,174.64,2,FAILED_NO_GLUE
10.0.0.1,junio.com.,645.06,3,209.196.144.25
10.0.0.1,kathihill.com.,422.87,3,159.65.187.116
10.0.0.1,kennethehartman.com.,324.43,3,192.0.78.25
10.0.0.1,khsm.ru.,356.12,2,FAILED_NO_GLUE
10.0.0.1,kh.ua.,385.24,3,195.69.185.211
10.0.0.1,linksplash.info.,175.46,2,NXDOMAIN
10.0.0.1,livelinks.com.,477.27,3,108.158.61.13
10.0.0.1,localhost.re.,342.72,2,FAILED_NO_GLUE
10.0.0.1,lozo.com.,558.24,3,34.192.96.224
10.0.0.1,luckypuppygames.com.,468.01,3,172.233.219.123
10.0.0.1,memeblender.com.,358.50,3,104.21.7.158
10.0.0.1,mesites.co.za.,819.41,3,FAILED_NO_GLUE
10.0.0.1,michiganbulb.com.,591.15,3,208.27.142.168
10.0.0.1,monsterhomesecuritystore.com.,294.98,2,NXDOMAIN
10.0.0.1,mwzip.com.,333.78,3,172.67.194.102
10.0.0.1,mysearch-online.com.,313.36,2,NXDOMAIN
10.0.0.1,newstetic.com.,320.36,3,172.67.131.89
10.0.0.1,niceinternetmoney.ru.,362.88,2,NXDOMAIN
10.0.0.1,ondemandappliancerepair.com.,468.40,3,74.208.236.102
10.0.0.1,o-ov.com.,479.95,3,REFUSED
10.0.0.1,owlcreek.com.,330.03,3,205.178.189.129
10.0.0.1,pbprofile.com.,292.47,2,NXDOMAIN
10.0.0.1,phi-pe.com.,285.94,2,NXDOMAIN
10.0.0.1,pictures-thailand.com.,545.99,3,66.96.149.1
10.0.0.1,pieceinch.com.,333.27,3,172.67.201.136
10.0.0.1,portclydegeneralstore.com.,450.14,3,198.185.159.144
10.0.0.1,ppsuika.ac.id.,453.60,3,FAILED_NO_GLUE
10.0.0.1,probigbets.com.,284.81,2,NXDOMAIN
10.0.0.1,progettogiovani.pd.it.,473.42,3,185.213.115.40
10.0.0.1,radioterminal.ru.,559.02,3,188.225.40.161
10.0.0.1,reprosystems.ru.,356.79,2,FAILED_NO_GLUE
10.0.0.1,retiragroup.com.,280.82,2,NXDOMAIN
10.0.0.1,rtsab.com.,486.66,3,FAILED_NO_GLUE
10.0.0.1,running-sigi.de.,310.31,2,NXDOMAIN
10.0.0.1,sdccdonline.net.,5293.62,3,FAILED_TIMEOUT
10.0.0.1,sheltercoveinn.com.,573.51,3,FAILED_NO_GLUE
10.0.0.1,shivalikprints.com.,429.12,3,162.215.11.92
10.0.0.1,shqqaa.com.,371.53,3,104.21.25.127
10.0.0.1,simternet.com.,472.40,3,15.197.225.128
10.0.0.1,somode.com.,308.19,2,NXDOMAIN
10.0.0.1,stunninggirls.net.,317.09,3,34.95.33.229
10.0.0.1,toaskfuture.com.,357.73,3,119.18.54.195
10.0.0.1,tottenhamhk.com.,285.19,2,NXDOMAIN
10.0.0.1,triggerfish.se.,513.26,3,162.159.134.42
10.0.0.1,tuhafhaberler.com.,320.89,2,NXDOMAIN
10.0.0.1,uahoy.net.,279.13,2,NXDOMAIN
10.0.0.1,us.tf.,300.92,2,FAILED_NO_GLUE
10.0.0.1,wrestlingfanssuck.com.,427.44,3,62.149.128.40
10.0.0.1,zzxu.cn.,322.84,2,FAILED_NO_GLUE
10.0.0.1,2brightsparks.co.uk.,311.62,2,FAILED_NO_GLUE
10.0.0.1,41latitude.com.,339.27,3,FAILED_NO_GLUE
10.0.0.1,7dfps.com.,0.00,0,CACHE_HIT
10.0.0.1,advertos.ru.,353.90,2,FAILED_NO_GLUE
10.0.0.1,afairjudgement.com.,0.00,0,CACHE_HIT
